"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 08 02:52:29 TRT 2022","Fri Apr 08 02:52:29 TRT 2022","600","","webdriver.io page","","webdriver.io page","Should demonstrate the getAttribute command","Should demonstrate the getAttribute command",""
"passed","Fri Apr 08 02:52:22 TRT 2022","Fri Apr 08 02:52:29 TRT 2022","7088","","webdriver.io page","","webdriver.io page","Should demonstrate the click command","Should demonstrate the click command",""
"passed","Fri Apr 08 02:52:21 TRT 2022","Fri Apr 08 02:52:22 TRT 2022","628","","webdriver.io page","","webdriver.io page","Should demenstrate setValue command","Should demenstrate setValue command",""
"passed","Mon Apr 11 01:07:07 TRT 2022","Mon Apr 11 01:07:08 TRT 2022","633","","webdriver.io page","","webdriver.io page","Should demenstrate setValue command","Should demenstrate setValue command",""
"passed","Mon Apr 11 01:06:57 TRT 2022","Mon Apr 11 01:06:57 TRT 2022","4","","webdriver.io page","","webdriver.io page","should have the right title","should have the right title",""
"passed","Fri Apr 08 02:52:11 TRT 2022","Fri Apr 08 02:52:11 TRT 2022","11","","webdriver.io page","","webdriver.io page","should have the right title","should have the right title",""
"passed","Mon Apr 11 01:06:57 TRT 2022","Mon Apr 11 01:07:07 TRT 2022","10249","","webdriver.io page","","webdriver.io page","should demonstrate the addValue command","should demonstrate the addValue command",""
"passed","Fri Apr 08 02:52:11 TRT 2022","Fri Apr 08 02:52:21 TRT 2022","10056","","webdriver.io page","","webdriver.io page","should demonstrate the addValue command","should demonstrate the addValue command",""
"passed","Mon Apr 11 01:07:15 TRT 2022","Mon Apr 11 01:07:16 TRT 2022","655","","webdriver.io page","","webdriver.io page","Should demonstrate the getAttribute command","Should demonstrate the getAttribute command",""
"passed","Mon Apr 11 01:07:08 TRT 2022","Mon Apr 11 01:07:15 TRT 2022","7551","","webdriver.io page","","webdriver.io page","Should demonstrate the click command","Should demonstrate the click command",""
